no,t,p,median,median_l,median_u,LoA_lower,LoA_lower_l,LoA_lower_u,LoA_upper,LoA_upper_l,LoA_upper_u
1,1,1,-2,-3,-2,-10,-10,-9,3,3,3
2,2,1,-5,-6,-5,-17,-18,-17,0,0,0
3,3,1,-8,-9,-7,-22,-23,-22,0,0,0
4,4,1,-13,-14,-12,-29,-30,-28,0,0,0
5,5,1,-21,-22,-20,-37,-38,-37,0,0,0
6,1,2,0,0,1,-8,-9,-8,4,4,5
7,2,2,-3,-4,-3,-12,-12,-11,2,1,2
8,3,2,0,0,3,-18,-18,-18,0,0,0
9,4,2,-8,-10,-6,-25,-25,-25,0,0,0
10,5,2,-16,-17,-15,-32,-32,-31,0,0,0
11,1,3,0,0,0,-5,-5,-5,NA,NA,NA
12,2,3,0,0,0,-8,-8,-8,4,4,4
13,3,3,0,0,0,-13,-13,-13,3,2,4
14,4,3,0,0,0,-20,-20,-19,0,0,0
15,5,3,0,0,0,-27,-28,-27,0,0,0
16,1,4,0,0,0,-4,-4,-4,3,3,4
17,2,4,0,0,0,-6,-7,-6,4,4,4
18,3,4,0,0,0,-11,-11,-11,5,5,6
19,4,4,0,0,0,-17,-18,-17,0,-0.025,0
20,5,4,0,0,0,-23,-23,-22,0,0,0
21,1,5,0,0,0,-3,-3,-2,NA,NA,NA
22,2,5,0,0,0,-5,-6,-5,4,4,4
23,3,5,0,0,0,-9,-9,-9,5,5,6
24,4,5,0,0,0,-15,-16,-15,3,3,4.975
25,5,5,0,0,0,-21,-21,-20,0,0,0
26,1,6,0,0,0,-3,-3,-3,NA,NA,NA
27,2,6,0,0,0,-4,-4,-4,4,4,4.975
28,3,6,0,0,0,-8,-8,-8,5,5,5
29,4,6,0,0,0,-14,-15,-14,4,3,5
30,5,6,0,0,0,-20,-20,-19,0,0,0
31,1,7,0,0,0,-3,-3,-3,NA,NA,NA
32,2,7,0,0,0,-3,-3,-3,3.025,2.05,3.05
33,3,7,0,0,0,-7,-7,-6,5,5,5
34,4,7,0,0,0,-12,-13,-11.975,4.025,3.05,5.05
35,5,7,0,0,0,-18,-18,-17,0,-2,0
36,1,8,0,0,0,-3,-4,-3,NA,NA,NA
37,2,8,0,0,0,-3,-3,-3,3,3,3
38,3,8,0,0,0,-6,-6,-5,5,5,5
39,4,8,0,0,0,-11.025,-11.05,-10.05,5,4,6
40,5,8,0,0,0,-17.025,-17.05,-16.05,1,0,2
41,1,9,0,0,0,-2,-2,-1,NA,NA,NA
42,2,9,0,0,0,-3,-3,-3,3,3,3
43,3,9,0,0,0,-5,-5,-4,5,5,6
44,4,9,0,0,0,-11,-12,-11,6,6,7
45,5,9,0,0,0,-17,-18,-17,3,1.975,5
46,1,10,0,0,0,-2,-2,-2,NA,NA,NA
47,2,10,0,0,0,-3,-4,-3,NA,NA,NA
48,3,10,0,0,0,-5,-5,-5,5,5,5
49,4,10,0,0,0,-10,-10,-10,6,6,7
50,5,10,0,0,0,-16,-17,-16,3,2,4
51,1,11,0,0,0,-2,-2,-2,2,2,2
52,2,11,0,0,0,-2,-2,-2,NA,NA,NA
53,3,11,0,0,0,-5,-6,-5,4,3,4
54,4,11,0,0,0,-9,-9,-8,6,6,7
55,5,11,0,0,0,-15,-15,-15,2,1,3
56,1,12,0,0,0,-2,-2,-2,NA,NA,NA
57,2,12,1,1,2,-2,-3,-2,2.025,1.05,2.05
58,3,12,1,1,1,-2,-2,-1,NA,NA,NA
59,4,12,0,0,0,-6,-6,-6,5,5,5
60,5,12,0,0,0,-11,-12,-11,6,6,7
